Date,Net_Sales,Orders,Guests,holiday,is_gameday,is_pride_festival,is_arnold,Average Temp (°F),Average Humidity (%),Common Weather Description
8/19/2023,7914.65,148,356,,No,No,No,69.86,71.64,sky is clear
8/21/2023,2594.03,68,119,,No,No,No,82.62,73.55,sky is clear
8/22/2023,4353.21,88,287,,No,No,No,76.96,68.09,sky is clear
8/23/2023,3869.14,88,179,,No,No,No,79.38,69.18,sky is clear
8/24/2023,5085.75,96,191,,No,No,No,77.79,80.55,sky is clear
8/25/2023,8265.46,162,325,,No,No,No,83.34,80.45,mist
8/26/2023,8338.75,164,367,,No,No,No,76.35,77.36,overcast clouds
8/28/2023,3381.49,76,150,,No,No,No,71.48,63.91,sky is clear
8/29/2023,4894.76,88,192,,No,No,No,70.88,68.55,sky is clear
8/30/2023,3795.8,84,160,,No,No,No,67.7,71.09,overcast clouds
8/31/2023,4790.9,96,204,,No,No,No,68.66,63,sky is clear
9/1/2023,7351.29,138,289,,No,No,No,71.66,69,sky is clear
9/2/2023,4767.71,96,205,,Ohio State Football Gameday,No,No,77.04,71.55,sky is clear
9/3/2023,6176.61,117,285,,No,No,No,81.27,73.18,scattered clouds
9/5/2023,2721,65,126,,No,No,No,82.51,68.55,sky is clear
9/6/2023,4160.51,95,184,,No,No,No,80.04,74,sky is clear
9/7/2023,3628.37,80,158,,No,No,No,72.77,79.91,overcast clouds
9/8/2023,6676.08,133,283,,No,No,No,71.77,83.73,overcast clouds
9/9/2023,8289.28,135,334,,Ohio State Football Gameday,No,No,70.38,76,overcast clouds
9/10/2023,4606.7,83,194,,No,No,No,70.94,74.27,broken clouds
9/11/2023,2739.7,66,123,,No,No,No,70.32,71.64,scattered clouds
9/12/2023,3457.62,76,129,,No,No,No,66.12,89.73,light rain
9/13/2023,3702.81,74,155,,No,No,No,66.37,74.09,broken clouds
9/14/2023,3701.29,77,165,,No,No,No,64.5,69.27,sky is clear
9/15/2023,6382.84,124,260,,No,No,No,64.99,60.36,sky is clear
9/16/2023,5766.14,108,239,,Ohio State Football Gameday,No,No,65.14,62.91,sky is clear
9/17/2023,5681.95,101,265,,No,No,No,66.21,75.45,sky is clear
9/18/2023,3341.92,70,145,,No,No,No,65.66,72,scattered clouds
9/19/2023,3152.75,78,149,,No,No,No,63.61,65.09,sky is clear
9/20/2023,3963.65,93,186,,No,No,No,70.04,62.09,sky is clear
9/21/2023,3456.55,85,174,,No,No,No,71.89,62.09,sky is clear
9/22/2023,7022.34,146,299,,No,No,No,71.43,60,sky is clear
9/23/2023,5681.1,126,240,,Ohio State Football Gameday,No,No,66.7,56.82,sky is clear
9/24/2023,3976.45,88,179,,No,No,No,66.05,72.18,overcast clouds
9/25/2023,2291.08,56,100,,No,No,No,65.81,84.91,overcast clouds
9/26/2023,2905.09,58,130,,No,No,No,68.55,79.64,overcast clouds
9/27/2023,4391.36,93,189,,No,No,No,67.88,76.73,overcast clouds
9/28/2023,3693.98,75,167,,No,No,No,65.71,87.55,light rain
9/29/2023,6726.73,130,294,,No,No,No,69.12,82.91,mist
9/30/2023,8851.68,158,381,,No,No,No,69.12,77.67,broken clouds
10/1/2023,5662.99,105,257,,No,No,No,72.43,69.18,sky is clear
10/2/2023,3189.01,73,130,,No,No,No,74.23,65.64,sky is clear
10/3/2023,4510.41,97,181,,No,No,No,76.06,65.18,sky is clear
10/4/2023,3672.1,85,164,,No,No,No,75.44,62.55,sky is clear
10/5/2023,3599.36,81,145,,No,No,No,71.87,72.09,overcast clouds
10/6/2023,5431.91,122,248,,No,No,No,67.01,74.55,scattered clouds
10/7/2023,6436.84,121,283,,Ohio State Football Gameday,No,No,51.44,69.18,overcast clouds
10/8/2023,4545.93,90,212,,No,No,No,48.83,70.18,overcast clouds
10/9/2023,3350.7,71,154,Columbus Day,No,No,No,54.58,62.18,overcast clouds
10/10/2023,4070.7,89,185,,No,No,No,55.37,52,sky is clear
10/11/2023,3610.59,75,162,,No,No,No,57.7,53.73,sky is clear
10/12/2023,4661.22,83,185,,No,No,No,65.33,61.55,sky is clear
10/13/2023,7183.76,141,317,,No,No,No,63.25,61.18,sky is clear
10/14/2023,8315.92,141,329,,Ohio State Football Gameday,No,No,62.5,85.42,light rain
10/15/2023,4513.92,92,207,,No,No,No,52.44,74.82,overcast clouds
10/16/2023,3564.42,66,130,,No,No,No,51.41,82.73,overcast clouds
10/17/2023,3483.69,79,143,,No,No,No,53.11,75.18,overcast clouds
10/18/2023,2982.02,75,153,,No,No,No,52.75,73.09,sky is clear
10/19/2023,3065.7,58,127,,No,No,No,58.39,71.55,sky is clear
10/20/2023,5427.43,115,240,,No,No,No,54.54,91.18,light rain
10/21/2023,6027.6,108,253,,Ohio State Football Gameday,No,No,52.93,76.91,broken clouds
10/22/2023,4446.88,88,185,,No,No,No,51.21,70.45,broken clouds
10/23/2023,3064.74,60,126,,No,No,No,50.81,68,sky is clear
10/24/2023,3980.48,82,160,,No,No,No,64.07,57.27,sky is clear
10/25/2023,4034.59,81,157,Halloween,No,No,No,66.73,53.45,sky is clear
10/26/2023,3948.03,82,153,,No,No,No,67.63,65.91,broken clouds
10/27/2023,6864.17,125,266,,No,No,No,64.29,91.36,light rain
10/28/2023,4993.52,99,210,,Ohio State Football Gameday,No,No,60.45,91.18,light rain
10/29/2023,5150.91,78,166,,No,No,No,54.53,96.54,light rain
10/30/2023,2853.69,60,116,,No,No,No,45.18,90.58,light rain
10/31/2023,2734.2,62,101,,No,No,No,39.28,73.64,broken clouds
11/1/2023,4585.5,99,194,,No,No,No,38.54,60.82,broken clouds
11/2/2023,3132.1,70,147,,No,No,No,41.85,58.36,sky is clear
11/3/2023,6826.88,142,301,,No,No,No,51.02,41.18,sky is clear
11/4/2023,7268.05,131,308,,Ohio State Football Gameday,No,No,58.79,42.45,sky is clear
11/5/2023,4343.43,80,206,,No,No,No,50.31,73.45,sky is clear
11/6/2023,3276.49,74,154,,No,No,No,53.64,67.09,sky is clear
11/7/2023,3343.05,72,143,,No,No,No,61.85,62.55,sky is clear
11/8/2023,3110.36,75,158,,No,No,No,56.43,71.18,sky is clear
11/9/2023,3673.59,81,168,,No,No,No,55.38,74.45,overcast clouds
11/10/2023,7386.33,141,291,,No,No,No,52.72,53.82,sky is clear
11/11/2023,7647.74,136,289,Veterans Day,No,No,No,42.55,71.73,sky is clear
11/12/2023,4785.2,77,152,,Ohio State Football Gameday,No,No,45.56,63.55,sky is clear
11/13/2023,2719.69,70,129,,No,No,No,48.84,59.27,sky is clear
11/14/2023,3142.65,74,144,,No,No,No,46.35,57.64,sky is clear
11/15/2023,4141.4,82,174,,No,No,No,50.87,55.45,sky is clear
11/16/2023,4302.1,92,179,,No,No,No,53.13,58.64,sky is clear
11/17/2023,6762.67,134,295,,No,No,No,57.81,82.67,light rain
11/18/2023,6658.92,123,270,,Ohio State Football Gameday,No,No,42.26,72,sky is clear
11/19/2023,4863.09,92,237,,No,No,No,45.24,67.27,sky is clear
11/20/2023,3473.15,72,122,,No,No,No,42.84,68.36,sky is clear
11/21/2023,4078.78,91,182,,No,No,No,48.26,95,light rain
11/22/2023,5243.95,100,218,,No,No,No,42.69,87.45,overcast clouds
11/24/2023,6145.09,108,283,,No,No,No,38.34,76,sky is clear
11/25/2023,4517.9,85,180,,Ohio State Football Gameday,No,No,34.67,63,sky is clear
11/26/2023,4305.22,87,201,,No,No,No,40.81,82.45,light rain
11/27/2023,3639.52,79,144,,No,No,No,32.84,73.64,overcast clouds
11/28/2023,3034.95,71,120,,No,No,No,23.86,65.27,overcast clouds
11/29/2023,2960.78,76,124,,No,No,No,30.47,63,sky is clear
11/30/2023,3329.15,78,126,,No,No,No,44.53,64.18,sky is clear
12/1/2023,5583.26,113,250,,No,No,No,44.33,92.38,light rain
12/2/2023,7655.7,139,352,,No,No,No,53.09,85.55,overcast clouds
12/3/2023,4387.04,73,183,,No,No,No,47.86,88.55,overcast clouds
12/4/2023,3437.66,70,128,,No,No,No,38.01,79.82,sky is clear
12/5/2023,3254.09,67,118,,No,No,No,36.78,91.85,light rain
12/6/2023,3407.36,80,153,,No,No,No,37.61,74.73,overcast clouds
12/7/2023,2793.45,75,116,,No,No,No,42.8,70.73,sky is clear
12/8/2023,8758.41,155,322,,No,No,No,51.93,51.45,sky is clear
12/9/2023,7484.99,143,340,,No,No,No,54.41,89.64,overcast clouds
12/10/2023,5308.17,97,219,,No,No,No,38.47,76,overcast clouds
12/11/2023,3224.8,85,146,,No,No,No,35.2,75.73,overcast clouds
12/12/2023,4422.62,85,181,,No,No,No,38.42,69.91,sky is clear
12/13/2023,3525.35,70,146,,No,No,No,34.61,67.64,sky is clear
12/14/2023,5126.43,96,209,,No,No,No,35.93,65.36,sky is clear
12/15/2023,6961.55,127,308,,No,No,No,39.95,62.91,sky is clear
12/16/2023,9310.15,145,350,,No,No,No,43.93,61.27,sky is clear
12/17/2023,5437.3,101,235,,No,No,No,45.8,93.55,moderate rain
12/18/2023,3779.45,69,144,,No,No,No,35.88,82.55,overcast clouds
12/19/2023,5147.53,98,212,,No,No,No,30.68,71.55,overcast clouds
12/20/2023,5409.49,115,254,,No,No,No,33.69,69.09,sky is clear
12/21/2023,6975.65,92,254,,No,No,No,39.6,64.82,sky is clear
12/22/2023,7749.49,134,323,,No,No,No,41.01,70,overcast clouds
12/23/2023,6014.92,109,226,,No,No,No,44.18,82.91,light rain
12/24/2023,2222.45,34,82,Christmas Eve,No,No,No,50.7,93.55,mist
12/26/2023,6743.42,106,272,,No,No,No,55.83,85.64,overcast clouds
12/27/2023,5821.19,110,266,,No,No,No,44.21,94.08,overcast clouds
12/28/2023,5902.86,128,282,,No,No,No,42.43,91.82,mist
12/29/2023,6723.53,122,275,,No,No,No,37.17,86.55,overcast clouds
12/30/2023,8279.9,142,331,,No,No,No,38.39,81.27,overcast clouds
12/31/2023,7713.32,134,310,New Year's Eve,No,No,No,39.28,82.82,overcast clouds
1/2/2024,2849.1,61,134,,No,No,No,35.1,74.09,overcast clouds
1/3/2024,2539.9,57,122,,No,No,No,33.58,82.73,sky is clear
1/4/2024,3123.61,71,153,,No,No,No,31.78,72.55,overcast clouds
1/5/2024,6177.25,123,264,,No,No,No,27.32,78.91,sky is clear
1/6/2024,7278.86,137,311,,No,No,No,33.82,86.17,light rain
1/7/2024,3765.22,73,182,,No,No,No,34.79,91.69,light rain
1/8/2024,2747.2,51,83,,No,No,No,35.74,74.73,overcast clouds
1/9/2024,2662.03,56,100,,No,No,No,43.02,94.91,light rain
1/10/2024,3436.57,74,142,,No,No,No,35.45,89.67,overcast clouds
1/11/2024,3493.61,84,159,,No,No,No,39.04,76.18,overcast clouds
1/12/2024,6273.02,111,227,,No,No,No,37.06,81,light rain
1/13/2024,5973.7,102,251,,No,No,No,24.91,75.91,light snow
1/14/2024,3701.56,71,165,,No,No,No,11.68,66,sky is clear
1/15/2024,4310.96,88,195,Martin Luther King Jr. Day,No,No,No,12.07,66.55,sky is clear
1/16/2024,2294.7,52,96,,No,No,No,13,71.18,broken clouds
1/17/2024,2758.25,68,124,,No,No,No,15.55,57.55,sky is clear
